Id,Price (EUR),Transmission,Number of Gears,Body Type,Number of seats,Drive wheel,Fuel Type,Number of Cylinders,Volume of engine,Power,Max Torque,Top Speed,Acceleration to 100km/h,Combined consumption l/100km
51436,27590,5 speed manual transmission,5,"2-doors, convertible",4,front,gasoline,4,1390,75,126,160.0,15.6,7.1
51447,10389,4 speed manual transmission,4,"3-doors, hatchback",5,front,gasoline,4,1272,55,88,148.0,18.0,8.6
51467,9473,4 speed manual transmission,4,"5-doors, hatchback",5,front,gasoline,4,1272,55,88,148.0,18.0,8.6
51476,10754,4 speed manual transmission,4,"5-doors, hatchback",5,front,gasoline,4,1272,55,88,148.0,18.0,8.6
51482,11907,4 speed manual transmission,4,"5-doors, hatchback",5,front,gasoline,4,1297,60,100,152.0,16.8,7.4
51520,18632,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,5,1994,115,165,182.0,10.8,8.5
51524,11907,4 speed manual transmission,4,"4-doors, sedan",5,front,gasoline,4,1297,60,100,148.0,16.8,7.5
51561,15542,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1595,72,125,169.0,16.1,7.7
51601,18310,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1781,75,140,169.0,16.3,8.2
51624,22394,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1595,100,140,192.0,12.5,8.0
51738,27305,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1595,102,148,192.0,12.7,7.7
51878,26490,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1595,102,148,190.0,12.4,7.7
51992,29990,6 speed manual transmission,6,"4-doors, sedan",5,front,gasoline,4,1390,122,200,205.0,10.3,5.9
52056,37390,6 speed manual transmission,6,"4-doors, sedan",4,front,gasoline,4,1798,160,250,222.0,8.6,7.6
52081,43025,6 speed manual transmission,6,"5-doors, station wagon",5,front,gasoline,4,1798,160,250,211.0,8.9,7.7
52086,10131,4 speed manual transmission,4,"5-doors, station wagon",5,front,gasoline,4,1272,55,88,148.0,18.0,8.9
52094,11660,4 speed manual transmission,4,"5-doors, station wagon",5,front,gasoline,4,1272,55,88,148.0,18.0,8.9
